Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
SOM-a_21_n100_m10;171.85;825.0;824.95;177.0;825.0;170.0;825.0;168.0;825.0;155.0;825.0;190.0;825.0;187.0;825.0;179.0;825.0;164.0;825.0;198.0;825.0;174.0;825.0;167.0;825.0;159.0;825.0;193.0;825.0;184.0;825.0;161.0;825.0;153.0;825.0;158.0;825.0;161.0;824.0;174.0;825.0;165.0;825.0;
SOM-a_24_n100_m10;170.5;882.0;878.6;164.0;882.0;168.0;882.0;165.0;882.0;169.0;882.0;169.0;882.0;165.0;882.0;165.0;882.0;202.0;882.0;168.0;882.0;160.0;882.0;158.0;882.0;169.0;882.0;162.0;882.0;165.0;882.0;169.0;848.0;192.0;882.0;166.0;848.0;185.0;882.0;188.0;882.0;161.0;882.0;
SOM-a_11_n50_m5;50.35;254.0;254.0;60.0;254.0;54.0;254.0;45.0;254.0;47.0;254.0;45.0;254.0;61.0;254.0;41.0;254.0;43.0;254.0;66.0;254.0;41.0;254.0;44.0;254.0;45.0;254.0;63.0;254.0;76.0;254.0;44.0;254.0;43.0;254.0;44.0;254.0;49.0;254.0;45.0;254.0;51.0;254.0;
SOM-a_12_n50_m5;50.35;225.0;225.0;50.0;225.0;49.0;225.0;67.0;225.0;61.0;225.0;40.0;225.0;42.0;225.0;62.0;225.0;42.0;225.0;40.0;225.0;40.0;225.0;49.0;225.0;42.0;225.0;63.0;225.0;80.0;225.0;48.0;225.0;55.0;225.0;42.0;225.0;50.0;225.0;42.0;225.0;43.0;225.0;
SOM-a_13_n50_m5;43.35;239.0;239.0;41.0;239.0;49.0;239.0;42.0;239.0;43.0;239.0;44.0;239.0;42.0;239.0;39.0;239.0;53.0;239.0;41.0;239.0;39.0;239.0;44.0;239.0;43.0;239.0;41.0;239.0;43.0;239.0;42.0;239.0;41.0;239.0;43.0;239.0;46.0;239.0;49.0;239.0;42.0;239.0;
SOM-a_14_n50_m5;45.55;243.0;243.0;45.0;243.0;53.0;243.0;44.0;243.0;40.0;243.0;41.0;243.0;41.0;243.0;41.0;243.0;63.0;243.0;47.0;243.0;43.0;243.0;44.0;243.0;65.0;243.0;40.0;243.0;45.0;243.0;43.0;243.0;42.0;243.0;40.0;243.0;48.0;243.0;42.0;243.0;44.0;243.0;
SOM-a_38_n125_m37;1227.55;7084.0;7083.9;1202.0;7084.0;1236.0;7084.0;1224.0;7084.0;1239.0;7084.0;1218.0;7084.0;1246.0;7084.0;1303.0;7084.0;1214.0;7084.0;1214.0;7084.0;1218.0;7084.0;1248.0;7084.0;1251.0;7084.0;1240.0;7084.0;1198.0;7084.0;1184.0;7084.0;1224.0;7084.0;1210.0;7084.0;1249.0;7084.0;1261.0;7084.0;1172.0;7082.0;
SOM-a_15_n50_m5;46.65;231.0;231.0;53.0;231.0;59.0;231.0;42.0;231.0;40.0;231.0;45.0;231.0;66.0;231.0;43.0;231.0;40.0;231.0;44.0;231.0;43.0;231.0;40.0;231.0;60.0;231.0;50.0;231.0;43.0;231.0;46.0;231.0;45.0;231.0;49.0;231.0;42.0;231.0;41.0;231.0;42.0;231.0;
SOM-a_49_n150_m45;4374.75;12050.0;12013.2;4361.0;11866.0;4392.0;12050.0;4465.0;12050.0;4337.0;12050.0;4374.0;12050.0;4375.0;12050.0;4394.0;12050.0;4394.0;12050.0;4344.0;12050.0;4386.0;12050.0;4317.0;12050.0;4325.0;12050.0;4419.0;12050.0;4337.0;12050.0;4301.0;11866.0;4407.0;11866.0;4397.0;12050.0;4521.0;12050.0;4369.0;12050.0;4280.0;11866.0;
SOM-a_25_n100_m10;160.85;810.0;810.0;192.0;810.0;156.0;810.0;163.0;810.0;148.0;810.0;160.0;810.0;165.0;810.0;160.0;810.0;150.0;810.0;161.0;810.0;149.0;810.0;149.0;810.0;159.0;810.0;166.0;810.0;194.0;810.0;160.0;810.0;150.0;810.0;161.0;810.0;151.0;810.0;156.0;810.0;167.0;810.0;
