Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
GKD-a_65_n30_m12;48.75;19593.674930000005;19593.674929999997;51.0;19593.674930000005;47.0;19593.674930000005;55.0;19593.674930000005;43.0;19593.674930000005;43.0;19593.674930000005;43.0;19593.674930000005;44.0;19593.674930000005;44.0;19593.674930000005;64.0;19593.674930000005;44.0;19593.674930000005;44.0;19593.674930000005;58.0;19593.674930000005;47.0;19593.674930000005;50.0;19593.674930000005;42.0;19593.674930000005;54.0;19593.674930000005;45.0;19593.674930000005;51.0;19593.674930000005;60.0;19593.674930000005;46.0;19593.674930000005;
GKD-a_14_n10_m4;15.3;2263.0513600000004;2263.0513600000004;17.0;2263.0513600000004;16.0;2263.0513600000004;14.0;2263.0513600000004;21.0;2263.0513600000004;14.0;2263.0513600000004;14.0;2263.0513600000004;13.0;2263.0513600000004;15.0;2263.0513600000004;15.0;2263.0513600000004;14.0;2263.0513600000004;15.0;2263.0513600000004;16.0;2263.0513600000004;13.0;2263.0513600000004;16.0;2263.0513600000004;14.0;2263.0513600000004;15.0;2263.0513600000004;17.0;2263.0513600000004;18.0;2263.0513600000004;14.0;2263.0513600000004;15.0;2263.0513600000004;
GKD-a_48_n15_m12;20.75;12881.752790000002;12881.75279;21.0;12881.752790000002;22.0;12881.752790000002;18.0;12881.752790000002;19.0;12881.752790000002;20.0;12881.752790000002;18.0;12881.752790000002;18.0;12881.752790000002;27.0;12881.752790000002;25.0;12881.752790000002;22.0;12881.752790000002;19.0;12881.752790000002;29.0;12881.752790000002;19.0;12881.752790000002;18.0;12881.752790000002;19.0;12881.752790000002;19.0;12881.752790000002;21.0;12881.752790000002;24.0;12881.752790000002;19.0;12881.752790000002;18.0;12881.752790000002;
GKD-a_25_n10_m8;17.1;3668.83144;3668.8314400000004;17.0;3668.83144;15.0;3668.83144;15.0;3668.83144;16.0;3668.83144;15.0;3668.83144;15.0;3668.83144;15.0;3668.83144;15.0;3668.83144;15.0;3668.83144;15.0;3668.83144;33.0;3668.83144;15.0;3668.83144;14.0;3668.83144;25.0;3668.83144;23.0;3668.83144;17.0;3668.83144;15.0;3668.83144;16.0;3668.83144;16.0;3668.83144;15.0;3668.83144;
GKD-a_75_n30_m24;44.05;18406.727849999967;18406.727849999967;46.0;18406.727849999967;42.0;18406.727849999967;41.0;18406.727849999967;42.0;18406.727849999967;60.0;18406.727849999967;41.0;18406.727849999967;42.0;18406.727849999967;41.0;18406.727849999967;44.0;18406.727849999967;46.0;18406.727849999967;40.0;18406.727849999967;42.0;18406.727849999967;41.0;18406.727849999967;43.0;18406.727849999967;49.0;18406.727849999967;41.0;18406.727849999967;47.0;18406.727849999967;47.0;18406.727849999967;41.0;18406.727849999967;45.0;18406.727849999967;
GKD-a_69_n30_m18;56.05;43914.074299999964;43914.07429999997;56.0;43914.074299999964;50.0;43914.074299999964;73.0;43914.074299999964;49.0;43914.074299999964;54.0;43914.074299999964;48.0;43914.074299999964;51.0;43914.074299999964;48.0;43914.074299999964;81.0;43914.074299999964;47.0;43914.074299999964;48.0;43914.074299999964;99.0;43914.074299999964;54.0;43914.074299999964;52.0;43914.074299999964;50.0;43914.074299999964;50.0;43914.074299999964;52.0;43914.074299999964;54.0;43914.074299999964;50.0;43914.074299999964;55.0;43914.074299999964;
GKD-a_16_n10_m6;16.9;3182.9095600000005;3182.9095600000005;15.0;3182.9095600000005;14.0;3182.9095600000005;14.0;3182.9095600000005;14.0;3182.9095600000005;37.0;3182.9095600000005;22.0;3182.9095600000005;27.0;3182.9095600000005;14.0;3182.9095600000005;15.0;3182.9095600000005;14.0;3182.9095600000005;14.0;3182.9095600000005;15.0;3182.9095600000005;13.0;3182.9095600000005;21.0;3182.9095600000005;15.0;3182.9095600000005;14.0;3182.9095600000005;15.0;3182.9095600000005;15.0;3182.9095600000005;15.0;3182.9095600000005;15.0;3182.9095600000005;
GKD-a_18_n10_m6;15.85;3392.584300000002;3392.5843000000013;16.0;3392.584300000002;18.0;3392.584300000002;17.0;3392.584300000002;15.0;3392.584300000002;17.0;3392.584300000002;17.0;3392.584300000002;15.0;3392.584300000002;16.0;3392.584300000002;15.0;3392.584300000002;15.0;3392.584300000002;16.0;3392.584300000002;17.0;3392.584300000002;15.0;3392.584300000002;15.0;3392.584300000002;15.0;3392.584300000002;16.0;3392.584300000002;17.0;3392.584300000002;16.0;3392.584300000002;15.0;3392.584300000002;14.0;3392.584300000002;
GKD-a_46_n15_m12;21.5;13227.947520000005;13227.94752000001;20.0;13227.947520000005;20.0;13227.947520000005;20.0;13227.947520000005;19.0;13227.947520000005;31.0;13227.947520000005;20.0;13227.947520000005;21.0;13227.947520000005;20.0;13227.947520000005;20.0;13227.947520000005;21.0;13227.947520000005;19.0;13227.947520000005;20.0;13227.947520000005;21.0;13227.947520000005;21.0;13227.947520000005;27.0;13227.947520000005;20.0;13227.947520000005;26.0;13227.947520000005;21.0;13227.947520000005;21.0;13227.947520000005;22.0;13227.947520000005;
GKD-a_10_n10_m3;16.45;911.87491;911.8749100000001;14.0;911.87491;14.0;911.87491;14.0;911.87491;14.0;911.87491;17.0;911.87491;27.0;911.87491;19.0;911.87491;26.0;911.87491;14.0;911.87491;14.0;911.87491;28.0;911.87491;14.0;911.87491;14.0;911.87491;14.0;911.87491;13.0;911.87491;14.0;911.87491;16.0;911.87491;14.0;911.87491;15.0;911.87491;14.0;911.87491;
GKD-a_70_n30_m18;52.8;32819.6332;32819.6332;51.0;32819.6332;48.0;32819.6332;47.0;32819.6332;47.0;32819.6332;49.0;32819.6332;60.0;32819.6332;48.0;32819.6332;73.0;32819.6332;50.0;32819.6332;51.0;32819.6332;68.0;32819.6332;48.0;32819.6332;48.0;32819.6332;52.0;32819.6332;48.0;32819.6332;49.0;32819.6332;54.0;32819.6332;50.0;32819.6332;53.0;32819.6332;62.0;32819.6332;
GKD-a_12_n10_m4;15.65;2806.194880000001;2806.194880000002;14.0;2806.194880000001;17.0;2806.194880000001;16.0;2806.194880000001;16.0;2806.194880000001;14.0;2806.194880000001;15.0;2806.194880000001;15.0;2806.194880000001;15.0;2806.194880000001;23.0;2806.194880000001;16.0;2806.194880000001;16.0;2806.194880000001;15.0;2806.194880000001;14.0;2806.194880000001;16.0;2806.194880000001;15.0;2806.194880000001;14.0;2806.194880000001;14.0;2806.194880000001;17.0;2806.194880000001;16.0;2806.194880000001;15.0;2806.194880000001;
GKD-a_67_n30_m18;54.55;34769.27226999998;34769.27226999997;48.0;34769.27226999998;46.0;34769.27226999998;49.0;34769.27226999998;52.0;34769.27226999998;72.0;34769.27226999998;64.0;34769.27226999998;47.0;34769.27226999998;48.0;34769.27226999998;52.0;34769.27226999998;78.0;34769.27226999998;82.0;34769.27226999998;48.0;34769.27226999998;46.0;34769.27226999998;47.0;34769.27226999998;53.0;34769.27226999998;55.0;34769.27226999998;54.0;34769.27226999998;53.0;34769.27226999998;47.0;34769.27226999998;50.0;34769.27226999998;
GKD-a_21_n10_m8;19.65;6986.038480000001;6986.038480000001;16.0;6986.038480000001;16.0;6986.038480000001;17.0;6986.038480000001;18.0;6986.038480000001;17.0;6986.038480000001;23.0;6986.038480000001;25.0;6986.038480000001;15.0;6986.038480000001;16.0;6986.038480000001;15.0;6986.038480000001;16.0;6986.038480000001;17.0;6986.038480000001;35.0;6986.038480000001;17.0;6986.038480000001;37.0;6986.038480000001;17.0;6986.038480000001;19.0;6986.038480000001;22.0;6986.038480000001;20.0;6986.038480000001;15.0;6986.038480000001;
GKD-a_23_n10_m8;17.65;3533.96688;3533.96688;15.0;3533.96688;17.0;3533.96688;16.0;3533.96688;16.0;3533.96688;16.0;3533.96688;14.0;3533.96688;13.0;3533.96688;25.0;3533.96688;15.0;3533.96688;31.0;3533.96688;16.0;3533.96688;33.0;3533.96688;15.0;3533.96688;16.0;3533.96688;16.0;3533.96688;17.0;3533.96688;14.0;3533.96688;18.0;3533.96688;15.0;3533.96688;15.0;3533.96688;
GKD-a_3_n10_m2;13.7;197.87353000000002;197.87352999999996;13.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;20.0;197.87353000000002;14.0;197.87353000000002;14.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;15.0;197.87353000000002;13.0;197.87353000000002;13.0;197.87353000000002;15.0;197.87353000000002;13.0;197.87353000000002;12.0;197.87353000000002;15.0;197.87353000000002;
GKD-a_4_n10_m2;16.65;298.5006;298.5006000000001;14.0;298.5006;14.0;298.5006;31.0;298.5006;24.0;298.5006;13.0;298.5006;19.0;298.5006;15.0;298.5006;13.0;298.5006;13.0;298.5006;13.0;298.5006;22.0;298.5006;13.0;298.5006;13.0;298.5006;13.0;298.5006;30.0;298.5006;13.0;298.5006;14.0;298.5006;14.0;298.5006;13.0;298.5006;19.0;298.5006;
GKD-a_5_n10_m2;13.65;553.17242;553.1724200000001;13.0;553.17242;14.0;553.17242;13.0;553.17242;21.0;553.17242;13.0;553.17242;12.0;553.17242;12.0;553.17242;13.0;553.17242;13.0;553.17242;12.0;553.17242;13.0;553.17242;12.0;553.17242;13.0;553.17242;13.0;553.17242;16.0;553.17242;13.0;553.17242;13.0;553.17242;17.0;553.17242;13.0;553.17242;14.0;553.17242;
GKD-a_2_n10_m2;14.5;712.37355;712.3735500000001;13.0;712.37355;13.0;712.37355;15.0;712.37355;16.0;712.37355;13.0;712.37355;12.0;712.37355;14.0;712.37355;13.0;712.37355;15.0;712.37355;13.0;712.37355;13.0;712.37355;28.0;712.37355;13.0;712.37355;21.0;712.37355;12.0;712.37355;12.0;712.37355;13.0;712.37355;14.0;712.37355;14.0;712.37355;13.0;712.37355;
