Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
GKD-b_40_n125_m37;2146.05;222947.15127000003;222947.15127000012;2154.0;222947.15127000003;2116.0;222947.15127000003;2135.0;222947.15127000003;2092.0;222947.15127000003;2132.0;222947.15127000003;2142.0;222947.15127000003;2111.0;222947.15127000003;2155.0;222947.15127000003;2235.0;222947.15127000003;2119.0;222947.15127000003;2156.0;222947.15127000003;2179.0;222947.15127000003;2188.0;222947.15127000003;2179.0;222947.15127000003;2136.0;222947.15127000003;2132.0;222947.15127000003;2098.0;222947.15127000003;2204.0;222947.15127000003;2161.0;222947.15127000003;2097.0;222947.15127000003;
GKD-b_31_n125_m12;320.0;14734.442859999988;14734.442859999986;303.0;14734.442859999988;313.0;14734.442859999988;321.0;14734.442859999988;307.0;14734.442859999988;307.0;14734.442859999988;337.0;14734.442859999988;352.0;14734.442859999988;327.0;14734.442859999988;322.0;14734.442859999988;320.0;14734.442859999988;330.0;14734.442859999988;341.0;14734.442859999988;299.0;14734.442859999988;339.0;14734.442859999988;306.0;14734.442859999988;314.0;14734.442859999988;304.0;14734.442859999988;324.0;14734.442859999988;324.0;14734.442859999988;310.0;14734.442859999988;
GKD-b_25_n100_m10;199.05;20842.482140000004;20842.482139999996;192.0;20842.482140000004;195.0;20842.482140000004;185.0;20842.482140000004;190.0;20842.482140000004;208.0;20842.482140000004;201.0;20842.482140000004;192.0;20842.482140000004;186.0;20842.482140000004;207.0;20842.482140000004;202.0;20842.482140000004;191.0;20842.482140000004;201.0;20842.482140000004;222.0;20842.482140000004;197.0;20842.482140000004;223.0;20842.482140000004;185.0;20842.482140000004;200.0;20842.482140000004;205.0;20842.482140000004;204.0;20842.482140000004;195.0;20842.482140000004;
GKD-b_17_n50_m15;100.3;14147.724029999996;14147.724029999988;99.0;14147.724029999996;97.0;14147.724029999996;93.0;14147.724029999996;92.0;14147.724029999996;92.0;14147.724029999996;91.0;14147.724029999996;104.0;14147.724029999996;113.0;14147.724029999996;109.0;14147.724029999996;113.0;14147.724029999996;104.0;14147.724029999996;100.0;14147.724029999996;90.0;14147.724029999996;106.0;14147.724029999996;101.0;14147.724029999996;112.0;14147.724029999996;91.0;14147.724029999996;96.0;14147.724029999996;105.0;14147.724029999996;98.0;14147.724029999996;
GKD-b_22_n100_m10;144.65;29343.51121;29244.214717000013;139.0;29343.51121;130.0;29343.51121;158.0;27357.581349999997;139.0;29343.51121;133.0;29343.51121;140.0;29343.51121;171.0;29343.51121;190.0;29343.51121;136.0;29343.51121;134.0;29343.51121;160.0;29343.51121;155.0;29343.51121;136.0;29343.51121;131.0;29343.51121;133.0;29343.51121;159.0;29343.51121;130.0;29343.51121;137.0;29343.51121;150.0;29343.51121;132.0;29343.51121;
GKD-b_41_n150_m15;596.45;61316.60548000008;61272.834962000044;578.0;61316.60548000008;598.0;61316.60548000008;595.0;61316.60548000008;639.0;61316.60548000008;596.0;61170.77985000006;616.0;61316.60548000008;604.0;60878.67201;576.0;61316.60548000008;622.0;61316.60548000008;589.0;61316.60548000008;588.0;61316.60548000008;589.0;61316.60548000008;578.0;61316.60548000008;629.0;61316.60548000008;589.0;61316.60548000008;578.0;61316.60548000008;591.0;61316.60548000008;584.0;61316.60548000008;593.0;61170.77985000006;597.0;61170.77985000006;
GKD-b_15_n50_m5;50.65;6791.80109;6791.801089999996;45.0;6791.80109;46.0;6791.80109;48.0;6791.80109;55.0;6791.80109;43.0;6791.80109;73.0;6791.80109;58.0;6791.80109;45.0;6791.80109;72.0;6791.80109;68.0;6791.80109;43.0;6791.80109;44.0;6791.80109;42.0;6791.80109;47.0;6791.80109;44.0;6791.80109;45.0;6791.80109;51.0;6791.80109;53.0;6791.80109;46.0;6791.80109;45.0;6791.80109;
GKD-b_49_n150_m45;2336.85;398066.2211900006;398066.2211900007;2296.0;398066.2211900006;2319.0;398066.2211900006;2342.0;398066.2211900006;2352.0;398066.2211900006;2347.0;398066.2211900006;2372.0;398066.2211900006;2345.0;398066.2211900006;2312.0;398066.2211900006;2385.0;398066.2211900006;2294.0;398066.2211900006;2362.0;398066.2211900006;2343.0;398066.2211900006;2307.0;398066.2211900006;2350.0;398066.2211900006;2280.0;398066.2211900006;2299.0;398066.2211900006;2275.0;398066.2211900006;2437.0;398066.2211900006;2382.0;398066.2211900006;2338.0;398066.2211900006;
GKD-b_36_n125_m37;1695.1;245129.3454099999;245022.22744899988;1699.0;245129.3454099999;1661.0;244058.16579999964;1683.0;245129.3454099999;1662.0;245129.3454099999;1710.0;245129.3454099999;1660.0;245129.3454099999;1670.0;244058.16579999964;1713.0;245129.3454099999;1731.0;245129.3454099999;1722.0;245129.3454099999;1669.0;245129.3454099999;1750.0;245129.3454099999;1706.0;245129.3454099999;1714.0;245129.3454099999;1727.0;245129.3454099999;1652.0;245129.3454099999;1660.0;245129.3454099999;1758.0;245129.3454099999;1677.0;245129.3454099999;1678.0;245129.3454099999;
GKD-b_44_n150_m15;455.95;48619.37310000008;48587.81043000006;460.0;48493.12242;459.0;48619.37310000008;453.0;48493.12242;459.0;48619.37310000008;446.0;48619.37310000008;463.0;48619.37310000008;449.0;48619.37310000008;445.0;48619.37310000008;492.0;48619.37310000008;451.0;48619.37310000008;456.0;48493.12242;454.0;48619.37310000008;456.0;48493.12242;448.0;48619.37310000008;454.0;48493.12242;445.0;48619.37310000008;446.0;48619.37310000008;474.0;48619.37310000008;459.0;48619.37310000008;450.0;48619.37310000008;
GKD-b_11_n50_m5;51.75;8138.799530000002;8138.799530000001;47.0;8138.799530000002;45.0;8138.799530000002;48.0;8138.799530000002;45.0;8138.799530000002;41.0;8138.799530000002;44.0;8138.799530000002;45.0;8138.799530000002;44.0;8138.799530000002;80.0;8138.799530000002;42.0;8138.799530000002;44.0;8138.799530000002;42.0;8138.799530000002;66.0;8138.799530000002;70.0;8138.799530000002;99.0;8138.799530000002;42.0;8138.799530000002;50.0;8138.799530000002;54.0;8138.799530000002;41.0;8138.799530000002;46.0;8138.799530000002;
GKD-b_32_n125_m12;309.45;50423.49317000002;50256.398715500014;293.0;50423.49317000002;291.0;50423.49317000002;314.0;49309.53013999996;304.0;50423.49317000002;313.0;50423.49317000002;332.0;50423.49317000002;306.0;50423.49317000002;324.0;50423.49317000002;315.0;50423.49317000002;288.0;50423.49317000002;311.0;50423.49317000002;311.0;50423.49317000002;334.0;50423.49317000002;305.0;49309.53013999996;299.0;50423.49317000002;307.0;49309.53013999996;300.0;50423.49317000002;309.0;50423.49317000002;316.0;50423.49317000002;317.0;50423.49317000002;
GKD-b_26_n100_m30;616.4;87758.85861999996;87644.59147950001;590.0;87758.85861999996;592.0;87758.85861999996;632.0;86934.87972999996;630.0;87758.85861999996;615.0;87028.17666000013;614.0;87758.85861999996;652.0;87758.85861999996;610.0;87758.85861999996;616.0;87758.85861999996;602.0;87758.85861999996;628.0;87028.17666000013;623.0;87758.85861999996;617.0;87758.85861999996;651.0;87758.85861999996;603.0;87758.85861999996;604.0;87758.85861999996;594.0;87758.85861999996;637.0;87758.85861999996;611.0;87758.85861999996;607.0;87758.85861999996;
GKD-b_29_n100_m30;521.35;176208.50126;176175.03262399993;515.0;176208.50126;503.0;176208.50126;515.0;176208.50126;531.0;176208.50126;527.0;176208.50126;523.0;176208.50126;531.0;176208.50126;501.0;175539.1285399999;540.0;176208.50126;523.0;176208.50126;516.0;176208.50126;519.0;176208.50126;516.0;176208.50126;531.0;176208.50126;550.0;176208.50126;522.0;176208.50126;507.0;176208.50126;524.0;176208.50126;521.0;176208.50126;512.0;176208.50126;
GKD-b_12_n50_m5;49.05;7545.59408;7545.59408;46.0;7545.59408;45.0;7545.59408;47.0;7545.59408;49.0;7545.59408;48.0;7545.59408;48.0;7545.59408;75.0;7545.59408;43.0;7545.59408;50.0;7545.59408;44.0;7545.59408;45.0;7545.59408;58.0;7545.59408;44.0;7545.59408;76.0;7545.59408;42.0;7545.59408;46.0;7545.59408;43.0;7545.59408;44.0;7545.59408;41.0;7545.59408;47.0;7545.59408;
GKD-b_19_n50_m15;97.55;32420.033069999976;32420.033069999994;98.0;32420.033069999976;89.0;32420.033069999976;93.0;32420.033069999976;132.0;32420.033069999976;91.0;32420.033069999976;94.0;32420.033069999976;117.0;32420.033069999976;95.0;32420.033069999976;98.0;32420.033069999976;93.0;32420.033069999976;94.0;32420.033069999976;91.0;32420.033069999976;91.0;32420.033069999976;116.0;32420.033069999976;89.0;32420.033069999976;92.0;32420.033069999976;90.0;32420.033069999976;94.0;32420.033069999976;89.0;32420.033069999976;105.0;32420.033069999976;
GKD-b_13_n50_m5;50.7;4632.849669999999;4632.849669999998;59.0;4632.849669999999;50.0;4632.849669999999;76.0;4632.849669999999;45.0;4632.849669999999;47.0;4632.849669999999;72.0;4632.849669999999;43.0;4632.849669999999;57.0;4632.849669999999;49.0;4632.849669999999;48.0;4632.849669999999;45.0;4632.849669999999;46.0;4632.849669999999;46.0;4632.849669999999;43.0;4632.849669999999;45.0;4632.849669999999;53.0;4632.849669999999;46.0;4632.849669999999;46.0;4632.849669999999;49.0;4632.849669999999;49.0;4632.849669999999;
GKD-b_14_n50_m5;48.15;4714.508709999998;4714.508709999996;47.0;4714.508709999998;43.0;4714.508709999998;46.0;4714.508709999998;45.0;4714.508709999998;72.0;4714.508709999998;41.0;4714.508709999998;43.0;4714.508709999998;46.0;4714.508709999998;44.0;4714.508709999998;50.0;4714.508709999998;51.0;4714.508709999998;45.0;4714.508709999998;63.0;4714.508709999998;45.0;4714.508709999998;43.0;4714.508709999998;42.0;4714.508709999998;48.0;4714.508709999998;46.0;4714.508709999998;42.0;4714.508709999998;61.0;4714.508709999998;
GKD-b_30_n100_m30;576.45;99083.70459000001;99083.70459;562.0;99083.70459000001;564.0;99083.70459000001;572.0;99083.70459000001;581.0;99083.70459000001;583.0;99083.70459000001;568.0;99083.70459000001;564.0;99083.70459000001;564.0;99083.70459000001;604.0;99083.70459000001;571.0;99083.70459000001;577.0;99083.70459000001;583.0;99083.70459000001;603.0;99083.70459000001;572.0;99083.70459000001;593.0;99083.70459000001;566.0;99083.70459000001;560.0;99083.70459000001;588.0;99083.70459000001;571.0;99083.70459000001;583.0;99083.70459000001;
GKD-b_35_n125_m12;274.0;22306.47954;22275.19993899999;264.0;22306.47954;260.0;21993.683530000006;274.0;22306.47954;288.0;22306.47954;265.0;22306.47954;268.0;22306.47954;297.0;22306.47954;288.0;21993.683530000006;280.0;22306.47954;275.0;22306.47954;276.0;22306.47954;293.0;22306.47954;269.0;22306.47954;290.0;22306.47954;270.0;22306.47954;264.0;22306.47954;258.0;22306.47954;285.0;22306.47954;254.0;22306.47954;262.0;22306.47954;
GKD-b_6_n25_m7;36.3;7156.571379999999;7156.5713799999985;44.0;7156.571379999999;33.0;7156.571379999999;34.0;7156.571379999999;45.0;7156.571379999999;56.0;7156.571379999999;29.0;7156.571379999999;29.0;7156.571379999999;30.0;7156.571379999999;58.0;7156.571379999999;32.0;7156.571379999999;29.0;7156.571379999999;31.0;7156.571379999999;36.0;7156.571379999999;52.0;7156.571379999999;31.0;7156.571379999999;31.0;7156.571379999999;31.0;7156.571379999999;34.0;7156.571379999999;31.0;7156.571379999999;30.0;7156.571379999999;
GKD-b_37_n125_m37;1524.25;262071.0439400005;262045.9183705005;1489.0;262071.0439400005;1482.0;262071.0439400005;1525.0;262071.0439400005;1513.0;262071.0439400005;1546.0;262071.0439400005;1569.0;262071.0439400005;1540.0;262071.0439400005;1549.0;262071.0439400005;1527.0;262071.0439400005;1517.0;261568.5325500002;1537.0;262071.0439400005;1555.0;262071.0439400005;1495.0;262071.0439400005;1535.0;262071.0439400005;1521.0;262071.0439400005;1489.0;262071.0439400005;1467.0;262071.0439400005;1549.0;262071.0439400005;1558.0;262071.0439400005;1522.0;262071.0439400005;
GKD-b_8_n25_m7;32.05;7198.955979999999;7198.955979999999;32.0;7198.955979999999;29.0;7198.955979999999;31.0;7198.955979999999;29.0;7198.955979999999;34.0;7198.955979999999;31.0;7198.955979999999;28.0;7198.955979999999;31.0;7198.955979999999;32.0;7198.955979999999;46.0;7198.955979999999;41.0;7198.955979999999;29.0;7198.955979999999;29.0;7198.955979999999;29.0;7198.955979999999;35.0;7198.955979999999;32.0;7198.955979999999;30.0;7198.955979999999;32.0;7198.955979999999;31.0;7198.955979999999;30.0;7198.955979999999;
GKD-b_34_n125_m12;325.6;40212.16440000002;39973.20474900001;301.0;40212.16440000002;302.0;40212.16440000002;352.0;40212.16440000002;300.0;38619.100060000004;331.0;40212.16440000002;365.0;40212.16440000002;297.0;40212.16440000002;322.0;40212.16440000002;360.0;40212.16440000002;311.0;40212.16440000002;357.0;40212.16440000002;350.0;40212.16440000002;333.0;40212.16440000002;316.0;38619.100060000004;358.0;40212.16440000002;323.0;40212.16440000002;300.0;38619.100060000004;310.0;40212.16440000002;308.0;40212.16440000002;316.0;40212.16440000002;
GKD-b_43_n150_m15;453.65;42840.958289999966;42840.95828999997;426.0;42840.958289999966;441.0;42840.958289999966;451.0;42840.958289999966;442.0;42840.958289999966;454.0;42840.958289999966;442.0;42840.958289999966;478.0;42840.958289999966;462.0;42840.958289999966;477.0;42840.958289999966;469.0;42840.958289999966;467.0;42840.958289999966;452.0;42840.958289999966;437.0;42840.958289999966;465.0;42840.958289999966;455.0;42840.958289999966;446.0;42840.958289999966;439.0;42840.958289999966;477.0;42840.958289999966;460.0;42840.958289999966;433.0;42840.958289999966;
GKD-b_2_n25_m2;21.2;590.54163;590.5416299999999;22.0;590.54163;20.0;590.54163;20.0;590.54163;22.0;590.54163;27.0;590.54163;23.0;590.54163;21.0;590.54163;20.0;590.54163;21.0;590.54163;20.0;590.54163;20.0;590.54163;21.0;590.54163;20.0;590.54163;20.0;590.54163;20.0;590.54163;19.0;590.54163;20.0;590.54163;22.0;590.54163;24.0;590.54163;22.0;590.54163;
GKD-b_4_n25_m2;27.05;730.15343;730.1534300000002;23.0;730.15343;22.0;730.15343;32.0;730.15343;31.0;730.15343;20.0;730.15343;19.0;730.15343;38.0;730.15343;20.0;730.15343;21.0;730.15343;36.0;730.15343;26.0;730.15343;57.0;730.15343;30.0;730.15343;40.0;730.15343;20.0;730.15343;20.0;730.15343;22.0;730.15343;24.0;730.15343;20.0;730.15343;20.0;730.15343;
GKD-b_23_n100_m10;147.75;20626.202879999993;20626.202879999993;141.0;20626.202879999993;138.0;20626.202879999993;139.0;20626.202879999993;143.0;20626.202879999993;174.0;20626.202879999993;131.0;20626.202879999993;144.0;20626.202879999993;131.0;20626.202879999993;187.0;20626.202879999993;171.0;20626.202879999993;134.0;20626.202879999993;141.0;20626.202879999993;145.0;20626.202879999993;151.0;20626.202879999993;156.0;20626.202879999993;130.0;20626.202879999993;147.0;20626.202879999993;145.0;20626.202879999993;136.0;20626.202879999993;171.0;20626.202879999993;
GKD-b_46_n150_m45;2743.3;326665.22311999975;326589.65059999994;2722.0;326665.22311999975;2692.0;326665.22311999975;2767.0;326665.22311999975;2727.0;326665.22311999975;2763.0;326665.22311999975;2752.0;326665.22311999975;2753.0;326665.22311999975;2739.0;326665.22311999975;2794.0;326665.22311999975;2712.0;326665.22311999975;2780.0;326161.40632;2762.0;326665.22311999975;2771.0;326665.22311999975;2767.0;326161.40632;2726.0;326665.22311999975;2737.0;326665.22311999975;2683.0;326665.22311999975;2815.0;326161.40632;2715.0;326665.22311999975;2689.0;326665.22311999975;
